sample,fastq_1,fastq_2,strandedness,seq_platform
DU1704S0019739,/work/nfb9/Seq_Data_Raw/PrometheusReanalysis/whole_blood_Data_Batch1_fastq/DU1704S0019739.fastq.gz,,auto,Illumina
DU1704S0019740,/work/nfb9/Seq_Data_Raw/PrometheusReanalysis/whole_blood_Data_Batch1_fastq/DU1704S0019740.fastq.gz,,auto,Illumina
DU1704S0019741,/work/nfb9/Seq_Data_Raw/PrometheusReanalysis/whole_blood_Data_Batch1_fastq/DU1704S0019741.fastq.gz,,auto,Illumina
DU1704S0019742,/work/nfb9/Seq_Data_Raw/PrometheusReanalysis/whole_blood_Data_Batch1_fastq/DU1704S0019742.fastq.gz,,auto,Illumina
DU1704S0019743,/work/nfb9/Seq_Data_Raw/PrometheusReanalysis/whole_blood_Data_Batch1_fastq/DU1704S0019743.fastq.gz,,auto,Illumina
DU1704S0019744,/work/nfb9/Seq_Data_Raw/PrometheusReanalysis/whole_blood_Data_Batch1_fastq/DU1704S0019744.fastq.gz,,auto,Illumina
DU1704S0019745,/work/nfb9/Seq_Data_Raw/PrometheusReanalysis/whole_blood_Data_Batch1_fastq/DU1704S0019745.fastq.gz,,auto,Illumina
DU1704S0019746,/work/nfb9/Seq_Data_Raw/PrometheusReanalysis/whole_blood_Data_Batch1_fastq/DU1704S0019746.fastq.gz,,auto,Illumina
DU1704S0019747,/work/nfb9/Seq_Data_Raw/PrometheusReanalysis/whole_blood_Data_Batch1_fastq/DU1704S0019747.fastq.gz,,auto,Illumina
DU1704S0019748,/work/nfb9/Seq_Data_Raw/PrometheusReanalysis/whole_blood_Data_Batch1_fastq/DU1704S0019748.fastq.gz,,auto,Illumina
DU1704S0019749,/work/nfb9/Seq_Data_Raw/PrometheusReanalysis/whole_blood_Data_Batch1_fastq/DU1704S0019749.fastq.gz,,auto,Illumina
DU1704S0019751,/work/nfb9/Seq_Data_Raw/PrometheusReanalysis/whole_blood_Data_Batch1_fastq/DU1704S0019751.fastq.gz,,auto,Illumina
DU1704S0019752,/work/nfb9/Seq_Data_Raw/PrometheusReanalysis/whole_blood_Data_Batch1_fastq/DU1704S0019752.fastq.gz,,auto,Illumina
DU1704S0019753,/work/nfb9/Seq_Data_Raw/PrometheusReanalysis/whole_blood_Data_Batch1_fastq/DU1704S0019753.fastq.gz,,auto,Illumina
DU1704S0019754,/work/nfb9/Seq_Data_Raw/PrometheusReanalysis/whole_blood_Data_Batch1_fastq/DU1704S0019754.fastq.gz,,auto,Illumina
DU1704S0019755,/work/nfb9/Seq_Data_Raw/PrometheusReanalysis/whole_blood_Data_Batch1_fastq/DU1704S0019755.fastq.gz,,auto,Illumina
DU1704S0019756,/work/nfb9/Seq_Data_Raw/PrometheusReanalysis/whole_blood_Data_Batch1_fastq/DU1704S0019756.fastq.gz,,auto,Illumina
DU1704S0019757,/work/nfb9/Seq_Data_Raw/PrometheusReanalysis/whole_blood_Data_Batch1_fastq/DU1704S0019757.fastq.gz,,auto,Illumina
DU1704S0019758,/work/nfb9/Seq_Data_Raw/PrometheusReanalysis/whole_blood_Data_Batch1_fastq/DU1704S0019758.fastq.gz,,auto,Illumina
DU1704S0019759,/work/nfb9/Seq_Data_Raw/PrometheusReanalysis/whole_blood_Data_Batch1_fastq/DU1704S0019759.fastq.gz,,auto,Illumina
DU1704S0019760,/work/nfb9/Seq_Data_Raw/PrometheusReanalysis/whole_blood_Data_Batch1_fastq/DU1704S0019760.fastq.gz,,auto,Illumina
DU1704S0019761,/work/nfb9/Seq_Data_Raw/PrometheusReanalysis/whole_blood_Data_Batch1_fastq/DU1704S0019761.fastq.gz,,auto,Illumina
DU1704S0019762,/work/nfb9/Seq_Data_Raw/PrometheusReanalysis/whole_blood_Data_Batch1_fastq/DU1704S0019762.fastq.gz,,auto,Illumina
DU1704S0019763,/work/nfb9/Seq_Data_Raw/PrometheusReanalysis/whole_blood_Data_Batch1_fastq/DU1704S0019763.fastq.gz,,auto,Illumina
DU1704S0019764,/work/nfb9/Seq_Data_Raw/PrometheusReanalysis/whole_blood_Data_Batch1_fastq/DU1704S0019764.fastq.gz,,auto,Illumina
DU1704S0019765,/work/nfb9/Seq_Data_Raw/PrometheusReanalysis/whole_blood_Data_Batch1_fastq/DU1704S0019765.fastq.gz,,auto,Illumina
DU1704S0019766,/work/nfb9/Seq_Data_Raw/PrometheusReanalysis/whole_blood_Data_Batch1_fastq/DU1704S0019766.fastq.gz,,auto,Illumina
DU1704S0019767,/work/nfb9/Seq_Data_Raw/PrometheusReanalysis/whole_blood_Data_Batch1_fastq/DU1704S0019767.fastq.gz,,auto,Illumina
